,trial_index,arm_name,trial_status,generation_method,is_feasible,num_params,val_mean_f1,conv10_channels,conv20_channels,conv31_channels,conv32_channels,conv33_channels,conv34_channels,conv41_channels,conv42_channels,conv43_channels,conv44_channels,conv45_channels,last_channels,head_features,learning_rate,dropout
0,0,0_0,COMPLETED,Sobol,False,141890.0,0.8059046268463135,64,16,4,64,16,32,64,64,32,128,32,128,16,0.0003370530169307932,0.24062709510326385
1,1,1_0,COMPLETED,Sobol,False,122834.0,0.8147768378257751,64,32,4,32,16,64,32,128,32,128,16,64,4,0.0008464104995346467,0.3673923541791737
2,2,2_0,COMPLETED,Sobol,False,281154.0,0.8447864055633545,64,16,4,64,64,128,8,64,32,256,128,64,16,0.002288577917942682,0.3340222449041903
3,3,3_0,COMPLETED,Sobol,False,358130.0,0.7809450626373291,32,16,4,16,32,128,8,128,8,32,128,256,4,0.0026359782145503035,0.20438185892999172
4,4,4_0,COMPLETED,Sobol,False,105026.0,0.8054431080818176,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0002394377733980061,0.4168137554079294
5,5,5_0,COMPLETED,Sobol,False,187394.0,0.8012069463729858,64,32,4,32,32,128,32,64,16,128,64,128,16,0.00019915154318540646,0.20533057115972042
6,6,6_0,COMPLETED,BoTorch,False,175170.0,0.8325545191764832,64,16,4,64,32,64,16,64,32,256,64,64,16,0.0018354164716927585,0.36443546663030846
7,7,7_0,COMPLETED,BoTorch,True,120386.0,0.8516125679016113,64,24,4,64,16,64,32,128,32,128,16,64,8,0.0008200072932039203,0.35833579927792425
8,8,8_0,COMPLETED,BoTorch,False,120386.0,0.8315600156784058,64,24,4,64,16,64,32,128,32,128,16,64,8,0.0011572473810087414,0.3748475124526185
9,9,9_0,COMPLETED,BoTorch,False,120386.0,0.7965900897979736,64,24,4,64,16,64,32,128,32,128,16,64,8,0.0005458623003373467,0.34269748576896586
10,10,10_0,COMPLETED,BoTorch,False,120386.0,0.7990094423294067,64,24,4,64,16,64,32,128,32,128,16,64,8,0.006720743174799004,0.44206779998919143
11,11,11_0,COMPLETED,BoTorch,False,120386.0,0.7788699865341187,64,24,4,64,16,64,32,128,32,128,16,64,8,0.002289641644753516,0.3333155845566984
12,12,12_0,COMPLETED,BoTorch,False,122834.0,0.7898824214935303,64,32,4,32,16,64,32,128,32,128,16,64,4,0.0002846458263374562,0.31722286456192555
13,13,13_0,COMPLETED,BoTorch,False,122834.0,0.8215190172195435,64,32,4,32,16,64,32,128,32,128,16,64,4,0.0017298461317564963,0.4218431109131376
14,14,14_0,COMPLETED,BoTorch,False,120386.0,0.8062419891357422,64,24,4,64,16,64,32,128,32,128,16,64,8,0.0009146686676917002,0.46969299445432705
15,15,15_0,COMPLETED,BoTorch,False,225090.0,0.8078328371047974,64,16,4,64,64,32,8,64,32,256,128,64,16,0.00210116127134747,0.3446659845666836
16,16,16_0,COMPLETED,BoTorch,True,105026.0,0.855709969997406,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0014425390627305214,0.41772711599306067
17,17,17_0,COMPLETED,BoTorch,False,118722.0,0.8270648717880249,64,24,4,32,16,64,32,128,32,128,16,64,8,0.0009368394880507573,0.35229554700219334
18,18,18_0,COMPLETED,BoTorch,False,105026.0,0.8481048941612244,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0009212300277137062,0.4078887243345465
19,19,19_0,COMPLETED,BoTorch,False,105026.0,0.8319358229637146,64,32,8,64,64,64,64,32,8,32,16,64,32,0.002427510759772823,0.35706158460296455
20,20,20_0,COMPLETED,BoTorch,False,105026.0,0.8396393060684204,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0012241545818549241,0.4898852407350897
21,21,21_0,COMPLETED,BoTorch,False,105026.0,0.8364049196243286,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0013543020453308063,0.34667995003431795
22,22,22_0,COMPLETED,BoTorch,False,84546.0,0.7990998029708862,64,32,8,64,64,32,64,32,8,32,16,64,32,0.001369733680528413,0.44155874791454
23,23,23_0,COMPLETED,BoTorch,False,145986.0,0.8478538393974304,64,32,8,64,64,128,64,32,8,32,16,64,32,0.0011184217206401323,0.4259066028565476
24,24,24_0,COMPLETED,BoTorch,True,120386.0,0.8520234823226929,64,24,4,64,16,64,32,128,32,128,16,64,8,0.0009563606888352299,0.22954830376851093
25,25,25_0,COMPLETED,BoTorch,True,105026.0,0.8558448553085327,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0013111664718713431,0.4281724852637925
26,26,26_0,COMPLETED,BoTorch,True,120386.0,0.8544742465019226,64,24,4,64,16,64,32,128,32,128,16,64,8,0.0009139027802496219,0.3024096371275917
27,27,27_0,COMPLETED,BoTorch,False,84546.0,0.8459069132804871,64,32,8,64,64,32,64,32,8,32,16,64,32,0.0006079079732328332,0.36851174272265025
28,28,28_0,COMPLETED,BoTorch,True,105026.0,0.867779016494751,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0006203018119607003,0.353148093242228
29,29,29_0,COMPLETED,BoTorch,False,84546.0,0.8107962608337402,64,32,8,64,64,32,64,32,8,32,16,64,32,0.0006092887288908302,0.28235982792259556
30,30,30_0,COMPLETED,BoTorch,False,105026.0,0.8462033867835999,64,32,8,64,64,64,64,32,8,32,16,64,32,0.0005908297991356809,0.39121888437984886
31,31,31_0,COMPLETED,BoTorch,False,84546.0,0.8277381658554077,64,32,8,64,64,32,64,32,8,32,16,64,32,0.004540495093999919,0.36581874988729
