,trial_index,arm_name,trial_status,generation_method,is_feasible,num_params,val_smoke_f1,conv10_channels,conv20_channels,conv31_channels,conv32_channels,conv33_channels,conv41_channels,conv42_channels,conv43_channels,conv51_channels,last_channels,head_features,learning_rate,dropout
0,0,0_0,COMPLETED,Sobol,False,60550.0,0.5513179302215576,33,25,4,16,27,15,16,54,17,43,18,0.0029363835103324042,0.28095543384552
1,1,1_0,COMPLETED,Sobol,False,117260.0,0.542780876159668,58,19,4,15,17,14,29,56,42,60,8,0.0003400812869822169,0.12511764327064157
2,2,2_0,COMPLETED,Sobol,False,91748.0,0.5382819175720215,54,28,7,9,22,11,18,49,39,50,10,0.003731268906000366,0.2485627243295312
3,3,3_0,COMPLETED,Sobol,False,82642.0,0.5335016846656799,55,19,8,14,24,13,21,39,17,60,8,0.0028346561418350494,0.17603681003674865
4,4,4_0,COMPLETED,Sobol,False,58873.0,0.5250335931777954,56,20,6,9,16,10,16,34,20,45,9,0.002630858006360995,0.12041024211794138
5,5,5_0,COMPLETED,BoTorch,False,60550.0,0.5217303037643433,33,25,4,16,27,15,16,54,17,43,18,0.0029366886630094007,0.2809599229499669
6,6,6_0,COMPLETED,BoTorch,False,58873.0,0.5178382396697998,56,20,6,9,16,10,16,34,20,45,9,0.00263004176917509,0.12006197738063569
7,7,7_0,COMPLETED,BoTorch,False,58873.0,0.5386099815368652,56,20,6,9,16,10,16,34,20,45,9,0.0026298672769027426,0.12001328735446089
8,8,8_0,COMPLETED,BoTorch,False,58873.0,0.5191041827201843,56,20,6,9,16,10,16,34,20,45,9,0.0026293663361094126,0.1198211050494172
9,9,9_0,COMPLETED,BoTorch,False,58873.0,0.4996100962162018,56,20,6,9,16,10,16,34,20,45,9,0.0026286849436116095,0.11952082984789625
10,10,10_0,COMPLETED,BoTorch,False,60550.0,0.5339353680610657,33,25,4,16,27,15,16,54,17,43,18,0.0029376963082609433,0.28095712611975165
11,11,11_0,COMPLETED,BoTorch,False,60550.0,0.5402412414550781,33,25,4,16,27,15,16,54,17,43,18,0.0029410442780324337,0.2809237568730238
12,12,12_0,COMPLETED,BoTorch,False,60550.0,0.5427923202514648,33,25,4,16,27,15,16,54,17,43,18,0.002938580284575653,0.2809475041209973
13,13,13_0,COMPLETED,BoTorch,False,60550.0,0.5374857783317566,33,25,4,16,27,15,16,54,17,43,18,0.0029354747991451715,0.28207899449573853
14,14,14_0,COMPLETED,BoTorch,False,60550.0,0.535275399684906,33,25,4,16,27,15,16,54,17,43,18,0.0029378006508340984,0.2812623229257344
15,15,15_0,COMPLETED,BoTorch,False,60550.0,0.5329116582870483,33,25,4,16,27,15,16,54,17,43,18,0.002937676043038003,0.28121198639114603
16,16,16_0,COMPLETED,BoTorch,False,60550.0,0.5293076634407043,33,25,4,16,27,15,16,54,17,43,18,0.002939701803890026,0.2814068939196046
17,17,17_0,COMPLETED,BoTorch,False,60550.0,0.5516910552978516,33,25,4,16,27,15,16,54,17,43,18,0.0029354584530185343,0.281130618550105
18,18,18_0,COMPLETED,BoTorch,False,60550.0,0.5475171208381653,33,25,4,16,27,15,16,54,17,43,18,0.00293738752226016,0.2812903941791499
19,19,19_0,COMPLETED,BoTorch,False,60550.0,0.5478560328483582,33,25,4,16,27,15,16,54,17,43,18,0.0029374925302060747,0.28127132494549484
20,20,20_0,COMPLETED,BoTorch,False,60550.0,0.5504944920539856,33,25,4,16,27,15,16,54,17,43,18,0.002937346874101723,0.281306810476676
21,21,21_0,COMPLETED,BoTorch,False,60550.0,0.536466121673584,33,25,4,16,27,15,16,54,17,43,18,0.0029372774768730045,0.2813423374544154
22,22,22_0,COMPLETED,BoTorch,False,60550.0,0.5306642651557922,33,25,4,16,27,15,16,54,17,43,18,0.0029372984811922836,0.28132934987692243
23,23,23_0,COMPLETED,BoTorch,False,60550.0,0.5102739930152893,33,25,4,16,27,15,16,54,17,43,18,0.0029373489395841043,0.28128929807391645
